         30023233 function calls (29541370 primitive calls) in 52.324 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    65901    5.443    0.000   11.435    0.000 xla.py:348(_execute_compiled_primitive)
      228    2.207    0.010    2.207    0.010 xla.py:343(backend_compile)
579587/537895    2.150    0.000    4.541    0.000 util.py:31(safe_map)
917362/764316    1.646    0.000    5.855    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    1.286    1.286    1.809    1.809 dataset.py:31(interpolate_mask)
    17652    1.171    0.000    1.171    0.000 xla.py:1367(force_fun)
306885/306750    1.058    0.000    1.072    0.000 {built-in method numpy.array}
    49103    0.881    0.000    0.980    0.000 xla.py:131(_device_put_array)
   238979    0.862    0.000    0.862    0.000 xla.py:1062(__init__)
   110110    0.767    0.000    1.432    0.000 xla.py:1301(_copy_device_array_to_device)
   150954    0.736    0.000    0.736    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    65901    0.731    0.000   15.356    0.000 xla.py:233(apply_primitive)
     4620    0.633    0.000    1.134    0.000 xla.py:827(_execute_compiled)
1814386/1728874    0.561    0.000    0.952    0.000 {built-in method builtins.isinstance}
   125375    0.499    0.000    2.229    0.000 core.py:1051(__init__)
    51711    0.487    0.000    2.715    0.000 lax.py:3224(_broadcast_in_dim_shape_rule)
   103658    0.482    0.000    1.634    0.000 lax.py:6101(_check_shapelike)
   130575    0.459    0.000    1.322    0.000 core.py:781(find_top_trace)
   257324    0.438    0.000    1.882    0.000 core.py:989(__init__)
     8641    0.415    0.000   14.718    0.002 lax_numpy.py:4194(_index_to_gather)
    22872    0.408    0.000    3.774    0.000 lax.py:3207(_broadcast_in_dim_impl)
121981/93415    0.403    0.000   24.792    0.000 core.py:266(bind)
        1    0.393    0.393    0.393    0.393 {built-in method matplotlib._png.write_png}
   356984    0.382    0.000    1.903    0.000 core.py:1139(canonicalize_shape)
   163396    0.363    0.000    0.365    0.000 xla_bridge.py:175(get_device_backend)
  140/137    0.362    0.003    0.366    0.003 {built-in method _imp.create_dynamic}
    10972    0.341    0.000    0.769    0.000 function_base.py:4225(delete)
    13/11    0.332    0.026    8.597    0.782 ad.py:163(backward_pass)
        2    0.329    0.164    0.329    0.164 {method 'recv_into' of '_socket.socket' objects}
   110504    0.322    0.000    0.341    0.000 lazy.py:131(is_trivial)
146155/146149    0.312    0.000    0.506    0.000 {built-in method builtins.max}
   163173    0.310    0.000    5.677    0.000 xla.py:124(device_put)
   257324    0.307    0.000    0.307    0.000 core.py:930(__init__)
2106617/2103238    0.306    0.000    0.308    0.000 {built-in method builtins.len}
   128859    0.304    0.000    2.655    0.000 core.py:858(concrete_aval)
353194/339202    0.299    0.000    1.414    0.000 <__array_function__ internals>:2(result_type)
     1003    0.293    0.000    0.293    0.000 {method 'read' of '_io.FileIO' objects}
   195383    0.271    0.000    1.769    0.000 dtypes.py:290(result_type)
   235509    0.262    0.000    1.295    0.000 dtypes.py:285(dtype)
   247281    0.235    0.000    0.788    0.000 core.py:375(full_raise)
      986    0.233    0.000    0.233    0.000 {built-in method marshal.loads}
   686444    0.231    0.000    0.275    0.000 {method 'get' of 'dict' objects}
     3665    0.229    0.000    1.418    0.000 lax_numpy.py:1661(broadcast_to)
        2    0.227    0.113    1.523    0.761 core.py:1132(read)
   110497    0.215    0.000    2.107    0.000 xla.py:1326(_force)
    38401    0.213    0.000    0.213    0.000 fixedwidth.py:39(<listcomp>)
246715/234131    0.212    0.000    1.155    0.000 <__array_function__ internals>:2(shape)
   130585    0.207    0.000    0.382    0.000 core.py:632(with_cur_sublevel)
   101377    0.206    0.000    0.706    0.000 xla.py:1019(make_device_array)
97342/93393    0.203    0.000   19.580    0.000 core.py:594(process_primitive)
246715/234131    0.199    0.000    0.570    0.000 fromnumeric.py:1856(shape)
    38401    0.196    0.000    0.458    0.000 fixedwidth.py:41(<listcomp>)
500096/497495    0.196    0.000    0.264    0.000 {built-in method builtins.getattr}
   324049    0.189    0.000    0.208    0.000 core.py:1133(_canonicalize_dimension)
    55455    0.175    0.000    0.580    0.000 fromnumeric.py:73(_wrapreduction)
   163189    0.175    0.000    0.612    0.000 xla.py:147(canonicalize_dtype)
   153929    0.172    0.000    0.939    0.000 xla.py:226(arg_spec)
     8027    0.167    0.000    0.407    0.000 function_base.py:37(linspace)
   157253    0.161    0.000    0.771    0.000 xla.py:169(abstractify)
     8641    0.158    0.000   21.507    0.002 lax_numpy.py:4110(_gather)
   110110    0.155    0.000    3.682    0.000 xla.py:1295(_device_put_device_array)
   758384    0.154    0.000    0.262    0.000 core.py:362(process_val)
  1135375    0.150    0.000    0.150    0.000 {method 'append' of 'list' objects}
   204650    0.150    0.000    5.189    0.000 xla.py:350(<genexpr>)
