         314237720 function calls (309171621 primitive calls) in 2552.880 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
11644397/9940132 1876.145    0.000 1927.347    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1  131.895  131.895 2540.071 2540.071 optimize.py:1058(_minimize_bfgs)
   905492   75.939    0.000  160.966    0.000 xla.py:348(_execute_compiled_primitive)
7986470/7407218   30.274    0.000   64.491    0.000 util.py:31(safe_map)
   242436   16.503    0.000   16.503    0.000 xla.py:1367(force_fun)
   663834   12.352    0.000   13.663    0.000 xla.py:131(_device_put_array)
  3300849   11.730    0.000   11.730    0.000 xla.py:1062(__init__)
   905492   10.288    0.000  192.093    0.000 xla.py:233(apply_primitive)
3162436/3162125   10.016    0.000   10.059    0.000 {built-in method numpy.array}
  1528579    9.546    0.000   18.452    0.000 xla.py:1301(_copy_device_array_to_device)
    65100    8.614    0.000   15.683    0.000 xla.py:827(_execute_compiled)
  1647515    8.144    0.000    8.144    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1756322    7.347    0.000   32.401    0.000 core.py:1051(__init__)
20942310/19765549    7.093    0.000   12.401    0.000 {built-in method builtins.isinstance}
  3560412    6.557    0.000   27.071    0.000 core.py:989(__init__)
   700001    6.525    0.000   36.864    0.000 lax.py:3224(_broadcast_in_dim_shape_rule)
  1400238    6.459    0.000   22.044    0.000 lax.py:6101(_check_shapelike)
  1800903    6.399    0.000   18.480    0.000 core.py:781(find_top_trace)
1679989/1278607    5.746    0.000  325.074    0.000 core.py:266(bind)
  4904523    5.576    0.000   26.496    0.000 core.py:1139(canonicalize_shape)
   112321    5.572    0.000  204.611    0.002 lax_numpy.py:4194(_index_to_gather)
   308137    5.514    0.000   52.029    0.000 lax.py:3207(_broadcast_in_dim_impl)
  2248229    5.401    0.000   12.069    0.000 xla.py:147(canonicalize_dtype)
  157/155    5.186    0.033  109.250    0.705 ad.py:163(backward_pass)
      236    5.018    0.021    5.018    0.021 xla.py:343(backend_compile)
  2248444    4.909    0.000    4.912    0.000 xla_bridge.py:175(get_device_backend)
   149500    4.789    0.000   10.918    0.000 function_base.py:4225(delete)
  1529392    4.512    0.000    4.783    0.000 lazy.py:131(is_trivial)
  3560412    4.462    0.000    4.462    0.000 core.py:930(__init__)
1937607/1937601    4.461    0.000    7.228    0.000 {built-in method builtins.max}
  2248213    4.310    0.000   80.873    0.000 xla.py:124(device_put)
  1777086    4.299    0.000   38.439    0.000 core.py:858(concrete_aval)
4784067/4586907    4.195    0.000   20.003    0.000 <__array_function__ internals>:2(result_type)
  2682157    3.947    0.000   25.344    0.000 dtypes.py:290(result_type)
25638654/25635275    3.847    0.000    3.861    0.000 {built-in method builtins.len}
  3243712    3.636    0.000   18.490    0.000 dtypes.py:285(dtype)
  3414625    3.327    0.000   11.263    0.000 core.py:375(full_raise)
  8706385    3.320    0.000    3.982    0.000 {method 'get' of 'dict' objects}
  1529385    3.039    0.000   28.875    0.000 xla.py:1326(_force)
3421322/3244002    3.006    0.000   16.258    0.000 <__array_function__ internals>:2(shape)
    46865    2.921    0.000   18.282    0.000 lax_numpy.py:1661(broadcast_to)
  1399033    2.867    0.000    9.783    0.000 xla.py:1019(make_device_array)
  1800913    2.816    0.000    5.144    0.000 core.py:632(with_cur_sublevel)
1334374/1278729    2.810    0.000  250.498    0.000 core.py:594(process_primitive)
3421322/3244002    2.746    0.000    8.082    0.000 fromnumeric.py:1856(shape)
  4451261    2.623    0.000    2.912    0.000 core.py:1133(_canonicalize_dimension)
   422473    2.442    0.000    7.234    0.000 fromnumeric.py:2277(all)
  2118008    2.351    0.000   13.361    0.000 xla.py:226(arg_spec)
  2164820    2.296    0.000   11.089    0.000 xla.py:169(abstractify)
  1528579    2.198    0.000   49.510    0.000 xla.py:1295(_device_put_device_array)
   112321    2.140    0.000  298.090    0.003 lax_numpy.py:4110(_gather)
  2809600    2.080    0.000   73.864    0.000 xla.py:350(<genexpr>)
   345350    2.032    0.000   90.951    0.000 lax.py:687(broadcast_in_dim)
   205227    1.985    0.000   37.259    0.000 partial_eval.py:142(default_process_primitive)
  1941722    1.960    0.000   15.263    0.000 <__array_function__ internals>:2(ndim)
   111961    1.938    0.000   81.627    0.001 lax_numpy.py:3939(_normalize_index)
     9300    1.911    0.000  390.654    0.042 lax_numpy.py:1454(interp)
  1008125    1.902    0.000    2.775    0.000 config.py:57(read)
   430673    1.897    0.000    1.928    0.000 {built-in method jaxlib.xla_extension.pytree.flatten}
5019860/5017259    1.892    0.000    2.172    0.000 {built-in method builtins.getattr}
  1991255    1.878    0.000   13.740    0.000 {built-in method builtins.any}
   372874    1.850    0.000    3.161    0.000 lazy.py:100(array)
  2313740    1.845    0.000    2.765    0.000 core.py:782(<genexpr>)
   775111    1.784    0.000    8.557    0.000 lax.py:413(convert_element_type)
2009677/1795746    1.767    0.000   41.353    0.000 core.py:865(get_aval)
   339711    1.754    0.000    3.377    0.000 functools.py:37(update_wrapper)
  1941722    1.720    0.000    9.771    0.000 fromnumeric.py:2986(ndim)
  2416611    1.639    0.000    2.398    0.000 core.py:1006(__hash__)
  1632810    1.621    0.000    1.621    0.000 core.py:1001(__eq__)
   373237    1.607    0.000    2.111    0.000 lazy.py:117(broadcast)
  1008122    1.581    0.000    4.356    0.000 config.py:142(__getattr__)
    65100    1.581    0.000    4.177    0.000 function_base.py:4436(insert)
   444893    1.579    0.000    5.006    0.000 fromnumeric.py:73(_wrapreduction)
   804372    1.534    0.000   17.050    0.000 core.py:541(__getattr__)
1940726/1912824    1.504    0.000    2.865    0.000 core.py:775(full_lower)
   308137    1.495    0.000    1.495    0.000 {method 'take' of 'numpy.ndarray' objects}
   469971    1.464    0.000    4.211    0.000 dtypes.py:151(issubdtype)
    66063    1.457    0.000    2.250    0.000 function_base.py:1147(diff)
120914/65100    1.453    0.000   37.386    0.001 core.py:1198(call_bind)
   672155    1.421    0.000    7.399    0.000 core.py:1116(raise_to_shaped)
   317882    1.366    0.000    4.504    0.000 fromnumeric.py:42(_wrapit)
   551228    1.363    0.000    8.489    0.000 dtypes.py:189(_jax_type)
  1529385    1.315    0.000    1.893    0.000 xla.py:1277(is_device_constant)
   121621    1.311    0.000   39.800    0.000 lax.py:3502(expand_dims)
  1801248    1.284    0.000    1.284    0.000 core.py:370(__init__)
   121106    1.275    0.000   58.698    0.000 lax_numpy.py:2509(concatenate)
        1    1.261    1.261    1.769    1.769 dataset.py:31(interpolate_mask)
  1118393    1.260    0.000    1.276    0.000 {built-in method builtins.sorted}
   393359    1.217    0.000    6.645    0.000 abstract_arrays.py:37(make_shaped_array)
    55807    1.217    0.000    6.356    0.000 lax.py:4081(_gather_shape_rule)
   131128    1.182    0.000   14.576    0.000 lax.py:2001(standard_abstract_eval)
  2393205    1.179    0.000    1.179    0.000 {built-in method __new__ of type object at 0x10c9def70}
   223925    1.131    0.000    8.413    0.000 lax_numpy.py:2654(array)
    55800    1.120    0.000    1.322    0.000 xla.py:79(_device_put_unit)
