Warning: NaN result encountered.
         Current function value: nan
         Iterations: 0
         Function evaluations: 1
         Gradient evaluations: 1
         11354023 function calls (11182927 primitive calls) in 24.862 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
     8201    0.010    0.000    0.120    0.000 <__array_function__ internals>:2(all)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(allclose)
     2533    0.002    0.000    0.025    0.000 <__array_function__ internals>:2(amax)
     2461    0.002    0.000    0.028    0.000 <__array_function__ internals>:2(amin)
    16955    0.016    0.000    0.223    0.000 <__array_function__ internals>:2(any)
     2659    0.002    0.000    0.029    0.000 <__array_function__ internals>:2(around)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(array_equal)
      966    0.001    0.000    0.013    0.000 <__array_function__ internals>:2(atleast_1d)
      121    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(atleast_2d)
     1555    0.003    0.000    0.033    0.000 <__array_function__ internals>:2(broadcast_arrays)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(broadcast_to)
     2157    0.003    0.000    0.008    0.000 <__array_function__ internals>:2(can_cast)
      488    0.001    0.000    0.031    0.000 <__array_function__ internals>:2(clip)
     1560    0.002    0.000    0.041    0.000 <__array_function__ internals>:2(column_stack)
     2698    0.003    0.000    0.024    0.000 <__array_function__ internals>:2(concatenate)
     1802    0.003    0.000    0.010    0.000 <__array_function__ internals>:2(copyto)
      179    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(cumsum)
     1653    0.003    0.000    0.119    0.000 <__array_function__ internals>:2(delete)
     1803    0.003    0.000    0.047    0.000 <__array_function__ internals>:2(diff)
     8297    0.009    0.000    0.037    0.000 <__array_function__ internals>:2(dot)
       63    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(einsum)
       21    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(empty_like)
      960    0.001    0.000    0.025    0.000 <__array_function__ internals>:2(hstack)
      840    0.002    0.000    0.055    0.000 <__array_function__ internals>:2(insert)
      661    0.001    0.000    0.051    0.000 <__array_function__ internals>:2(isclose)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(iscomplexobj)
     8027    0.008    0.000    0.415    0.000 <__array_function__ internals>:2(linspace)
      962    0.002    0.000    0.026    0.000 <__array_function__ internals>:2(moveaxis)
    37969    0.034    0.000    0.197    0.000 <__array_function__ internals>:2(ndim)
      480    0.001    0.000    0.004    0.000 <__array_function__ internals>:2(nonzero)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(norm)
        5    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ones_like)
      480    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(ptp)
63137/61865    0.057    0.000    0.239    0.000 <__array_function__ internals>:2(result_type)
     2659    0.003    0.000    0.039    0.000 <__array_function__ internals>:2(round_)
    14/12    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(searchsorted)
35476/34332    0.033    0.000    0.151    0.000 <__array_function__ internals>:2(shape)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(size)
       56    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(stack)
      239    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(sum)
     4322    0.005    0.000    0.088    0.000 <__array_function__ internals>:2(take)
       59    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(tile)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(trim_zeros)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(union1d)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(unique)
       60    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(unravel_index)
      120    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(vstack)
      974    0.002    0.000    0.007    0.000 <__array_function__ internals>:2(where)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(zeros_like)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        3    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
12114/5057    0.011    0.000    2.348    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     2144    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap>:103(release)
     1187    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
     1187    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1187    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:151(__exit__)
     2144    0.010    0.000    0.015    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1196    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:176(cb)
      957    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
  1638/15    0.002    0.000    3.012    0.201 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     9749    0.006    0.000    0.006    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:269(_module_repr)
     1131    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
     1131    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
     1131    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap>:318(__exit__)
